nom,id_artiste,duree
"Hey Soul Sister",6,03:37
"Sweet Home Alabama",2,04:45
"Smile",3,03:38
"Wake Me Up",12,04:09
"Wonderful Tonight",9,03:42
"Boys Don't Cry",14,02:37
"Stand by Me",15,02:58
"Don't Stop Believin'",7,04:09
"I Will Always Love You",8,04:32
"Thinking Out Loud",12,04:41
"Someone Like You",11,04:45
"Rocket Man",10,04:41
"Shape of My Heart",4,04:38
"The Sound of Silence",13,03:06
"Superstition",5,04:26
"Bohemian Rhapsody",1,05:55
"Hotel California",2,06:30
"Imagine",3,03:02
"Smells Like Teen Spirit",4,04:38
"Sweet Child O' Mine",5,05:55
"Hey Jude",6,07:11
"Stairway to Heaven",7,08:02
"Yesterday",8,02:04
"Billie Jean",9,04:54
"Wonderwall",10,04:19
"Piano Man",11,05:38
"Shape of You",12,03:53
"Boogie Wonderland",13,04:50
"All Star",14,03:21
"No Woman, No Cry",15,07:08
